id,date,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
30a32,2019-04-26,8.0,5.0,6.0,22.0,0.0,0.0,0.0,79.0
30a32,2019-04-27,47.0,15.0,18.0,34.0,0.0,0.0,0.0,102.0
30a32,2019-04-28,4.0,19.0,38.0,6.0,0.0,0.0,0.0,118.0
30a32,2019-04-29,4.0,21.0,34.0,85.0,18.0,68.0,17.0,117.0
30a32,2019-04-30,3.0,17.0,27.0,80.0,20.0,40.0,10.0,120.0
30a32,2019-05-01,1.0,14.0,31.0,68.0,4.0,67.0,6.0,131.0
30a32,2019-05-02,12.0,22.0,34.0,74.0,20.0,42.0,64.0,107.0
30a32,2019-05-03,4.0,13.0,30.0,51.0,16.0,17.0,20.0,111.0
30a32,2019-05-04,8.0,23.0,33.0,11.0,10.0,12.0,40.0,86.0
30a32,2019-05-05,10.0,23.0,42.0,26.0,4.0,27.0,42.0,106.0
30a32,2019-05-06,2.0,12.0,25.0,54.0,12.0,46.0,45.0,138.0
30a32,2019-05-07,6.0,17.0,18.0,38.0,16.0,63.0,26.0,84.0
30a32,2019-05-08,12.0,14.0,31.0,68.0,12.0,95.0,108.0,132.0
30a32,2019-05-09,22.0,15.0,30.0,42.0,38.0,48.0,66.0,125.0
30a32,2019-05-10,10.0,15.0,28.0,26.0,16.0,68.0,32.0,84.0
30a32,2019-05-11,12.0,22.0,23.0,38.0,12.0,25.0,40.0,51.0
30a32,2019-05-12,4.0,11.0,25.0,110.0,10.0,66.0,88.0,86.0
30a32,2019-05-13,2.0,20.0,31.0,56.0,4.0,72.0,63.0,79.0
30a32,2019-05-14,6.0,21.0,46.0,22.0,12.0,23.0,36.0,56.0
30a32,2019-05-15,4.0,20.0,39.0,76.0,24.0,57.0,22.0,103.0
30a32,2019-05-16,4.0,22.0,25.0,44.0,22.0,78.0,110.0,75.0
30a32,2019-05-17,6.0,25.0,39.0,52.0,12.0,56.0,37.0,138.0
30a32,2019-05-18,4.0,27.0,33.0,44.0,14.0,58.0,55.0,82.0
30a32,2019-05-19,4.0,20.0,36.0,29.0,8.0,47.0,51.0,94.0
30a32,2019-05-20,2.0,17.0,37.0,59.0,22.0,60.0,47.0,122.0
30a32,2019-05-21,4.0,18.0,31.0,46.0,20.0,47.0,71.0,88.0
30a32,2019-05-22,3.0,26.0,31.0,36.0,28.0,6.0,59.0,111.0
30a32,2019-05-23,5.0,15.0,32.0,62.0,34.0,0.0,49.0,99.0
30a32,2019-05-24,4.0,19.0,43.0,48.0,14.0,0.0,30.0,75.0
30a32,2019-05-25,4.0,22.0,29.0,53.0,20.0,0.0,44.0,113.0
30a32,2019-05-26,6.0,26.0,53.0,56.0,16.0,0.0,56.0,54.0
30a32,2019-05-27,4.0,20.0,34.0,58.0,12.0,4.0,71.0,96.0
30a32,2019-05-28,8.0,17.0,23.0,59.0,26.0,54.0,77.0,101.0
30a32,2019-05-29,14.0,29.0,29.0,68.0,24.0,65.0,69.0,100.0
30a32,2019-05-30,4.0,13.0,24.0,92.0,26.0,68.0,65.0,78.0
30a32,2019-05-31,16.0,18.0,37.0,57.0,24.0,74.0,73.0,92.0
30a32,2019-06-01,4.0,28.0,37.0,80.0,22.0,84.0,106.0,120.0
30a32,2019-06-02,6.0,47.0,96.0,51.0,8.0,69.0,84.0,115.0
30a32,2019-06-03,4.0,20.0,52.0,50.0,28.0,70.0,59.0,120.0
30a32,2019-06-04,18.0,24.0,33.0,62.0,18.0,54.0,59.0,116.0
