id,date,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
393cb,2019-04-24,36.0,2.0,22.0,28.0,26.0,50.0,73.0,86.0
393cb,2019-04-25,36.0,17.0,38.0,33.0,18.0,96.0,147.0,100.0
393cb,2019-04-26,17.0,6.0,24.0,39.0,12.0,90.0,125.0,68.0
393cb,2019-04-27,19.0,7.0,33.0,38.0,12.0,80.0,117.0,81.0
393cb,2019-04-28,12.0,5.0,28.0,40.0,20.0,71.0,109.0,82.0
393cb,2019-04-29,16.0,7.0,32.0,42.0,18.0,85.0,132.0,106.0
393cb,2019-04-30,1.0,11.0,31.0,28.0,6.0,69.0,88.0,65.0
393cb,2019-05-01,7.0,11.0,32.0,34.0,8.0,82.0,126.0,97.0
393cb,2019-05-02,4.0,12.0,33.0,56.0,24.0,103.0,99.0,84.0
393cb,2019-05-03,0.0,1.0,4.0,1.0,0.0,5.0,6.0,3.0
393cb,2019-05-04,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0
393cb,2019-05-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
393cb,2019-05-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
393cb,2019-05-07,0.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0
393cb,2019-05-08,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0
393cb,2019-05-09,28.0,0.0,10.0,26.0,4.0,32.0,76.0,48.0
393cb,2019-05-10,16.0,10.0,27.0,68.0,14.0,78.0,109.0,81.0
393cb,2019-05-11,14.0,8.0,32.0,42.0,16.0,73.0,86.0,92.0
393cb,2019-05-12,8.0,10.0,25.0,48.0,6.0,54.0,96.0,73.0
393cb,2019-05-13,16.0,7.0,20.0,30.0,8.0,57.0,53.0,51.0
393cb,2019-05-14,8.0,12.0,36.0,42.0,8.0,77.0,110.0,68.0
393cb,2019-05-15,19.0,8.0,43.0,38.0,18.0,101.0,128.0,73.0
393cb,2019-05-16,4.0,15.0,16.0,12.0,10.0,39.0,59.0,31.0
393cb,2019-05-17,28.0,8.0,35.0,43.0,16.0,78.0,108.0,98.0
393cb,2019-05-18,10.0,8.0,31.0,36.0,12.0,63.0,89.0,77.0
393cb,2019-05-19,20.0,3.0,34.0,41.0,8.0,47.0,101.0,57.0
393cb,2019-05-20,11.0,7.0,29.0,37.0,14.0,52.0,109.0,72.0
393cb,2019-05-21,10.0,6.0,29.0,52.0,14.0,75.0,99.0,74.0
393cb,2019-05-22,16.0,6.0,28.0,30.0,10.0,69.0,81.0,55.0
393cb,2019-05-23,13.0,18.0,37.0,40.0,20.0,87.0,152.0,57.0
393cb,2019-05-24,16.0,8.0,35.0,78.0,18.0,82.0,117.0,81.0
393cb,2019-05-25,38.0,9.0,26.0,30.0,8.0,67.0,94.0,63.0
393cb,2019-05-26,54.0,8.0,26.0,40.0,6.0,63.0,85.0,72.0
393cb,2019-05-27,56.0,8.0,29.0,56.0,2.0,73.0,137.0,92.0
393cb,2019-05-28,36.0,5.0,27.0,50.0,12.0,69.0,126.0,89.0
393cb,2019-05-29,14.0,11.0,28.0,50.0,16.0,80.0,97.0,83.0
393cb,2019-05-30,42.0,20.0,39.0,52.0,14.0,98.0,150.0,0.0
393cb,2019-05-31,12.0,4.0,12.0,22.0,8.0,39.0,71.0,0.0
393cb,2019-06-01,8.0,7.0,23.0,46.0,10.0,49.0,91.0,0.0
393cb,2019-06-02,63.0,2.0,35.0,44.0,4.0,63.0,108.0,0.0
393cb,2019-06-03,64.0,7.0,27.0,42.0,24.0,60.0,84.0,0.0
393cb,2019-06-04,10.0,4.0,21.0,28.0,6.0,48.0,59.0,0.0
393cb,2019-06-05,32.0,9.0,31.0,39.0,24.0,71.0,103.0,0.0
393cb,2019-06-06,28.0,14.0,21.0,54.0,10.0,73.0,141.0,0.0
393cb,2019-06-07,18.0,9.0,22.0,86.0,16.0,89.0,138.0,0.0
393cb,2019-06-08,22.0,10.0,25.0,42.0,10.0,55.0,101.0,0.0
393cb,2019-06-09,36.0,7.0,37.0,50.0,2.0,65.0,103.0,0.0
393cb,2019-06-10,14.0,7.0,54.0,48.0,12.0,66.0,78.0,0.0
393cb,2019-06-11,23.0,13.0,31.0,46.0,4.0,80.0,101.0,76.0
393cb,2019-06-12,20.0,6.0,39.0,46.0,10.0,79.0,103.0,60.0
393cb,2019-06-13,36.0,8.0,35.0,45.0,20.0,103.0,129.0,92.0
393cb,2019-06-14,96.0,10.0,27.0,60.0,28.0,93.0,126.0,86.0
393cb,2019-06-15,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
393cb,2019-06-17,16.0,1.0,10.0,18.0,4.0,35.0,40.0,34.0
393cb,2019-06-18,50.0,5.0,29.0,48.0,10.0,100.0,106.0,62.0
393cb,2019-06-19,18.0,9.0,26.0,42.0,22.0,85.0,101.0,79.0
393cb,2019-06-20,28.0,16.0,32.0,52.0,26.0,87.0,130.0,84.0
393cb,2019-06-21,8.0,7.0,17.0,56.0,18.0,60.0,91.0,64.0
393cb,2019-06-22,10.0,9.0,29.0,53.0,10.0,84.0,103.0,54.0
393cb,2019-06-23,8.0,3.0,28.0,36.0,8.0,57.0,92.0,72.0
393cb,2019-06-24,24.0,10.0,27.0,75.0,16.0,67.0,113.0,88.0
393cb,2019-06-25,10.0,7.0,40.0,40.0,10.0,79.0,86.0,69.0
393cb,2019-06-26,14.0,5.0,25.0,38.0,10.0,92.0,107.0,84.0
393cb,2019-06-27,31.0,29.0,23.0,46.0,12.0,116.0,159.0,102.0
393cb,2019-06-28,22.0,4.0,25.0,72.0,12.0,63.0,118.0,64.0
393cb,2019-06-29,10.0,16.0,24.0,34.0,4.0,70.0,99.0,62.0
393cb,2019-06-30,50.0,5.0,25.0,54.0,4.0,59.0,89.0,53.0
