id,date,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
7db78,2019-04-23,40.0,34.0,26.0,59.0,10.0,78.0,71.0,80.0
7db78,2019-04-24,20.0,58.0,48.0,80.0,8.0,132.0,98.0,98.0
7db78,2019-04-25,20.0,56.0,42.0,80.0,10.0,112.0,98.0,100.0
7db78,2019-04-26,28.0,44.0,29.0,72.0,8.0,119.0,143.0,111.0
7db78,2019-04-27,10.0,41.0,34.0,73.0,0.0,103.0,100.0,101.0
7db78,2019-04-28,30.0,43.0,35.0,48.0,4.0,101.0,78.0,114.0
7db78,2019-04-29,18.0,52.0,41.0,54.0,4.0,112.0,78.0,94.0
7db78,2019-04-30,22.0,41.0,32.0,56.0,8.0,94.0,73.0,83.0
7db78,2019-05-01,30.0,69.0,33.0,54.0,4.0,118.0,113.0,114.0
7db78,2019-05-02,12.0,52.0,34.0,66.0,8.0,116.0,91.0,88.0
7db78,2019-05-03,22.0,51.0,32.0,70.0,4.0,103.0,95.0,84.0
7db78,2019-05-04,20.0,60.0,41.0,64.0,8.0,110.0,92.0,80.0
7db78,2019-05-05,14.0,47.0,42.0,62.0,8.0,93.0,90.0,77.0
7db78,2019-05-06,20.0,54.0,44.0,63.0,4.0,136.0,103.0,120.0
7db78,2019-05-07,14.0,54.0,45.0,85.0,8.0,115.0,94.0,77.0
7db78,2019-05-08,18.0,48.0,41.0,64.0,14.0,95.0,70.0,80.0
7db78,2019-05-09,23.0,54.0,33.0,82.0,6.0,115.0,115.0,87.0
7db78,2019-05-10,28.0,53.0,38.0,60.0,8.0,132.0,89.0,118.0
7db78,2019-05-11,12.0,57.0,30.0,60.0,10.0,107.0,80.0,77.0
7db78,2019-05-12,14.0,59.0,58.0,50.0,6.0,119.0,71.0,73.0
7db78,2019-05-13,36.0,61.0,32.0,58.0,6.0,105.0,88.0,77.0
7db78,2019-05-14,12.0,53.0,27.0,81.0,4.0,108.0,140.0,83.0
7db78,2019-05-15,26.0,52.0,43.0,68.0,18.0,130.0,108.0,92.0
7db78,2019-05-16,26.0,52.0,40.0,74.0,4.0,101.0,99.0,71.0
7db78,2019-05-17,16.0,52.0,36.0,70.0,2.0,109.0,113.0,81.0
7db78,2019-05-18,28.0,65.0,51.0,49.0,4.0,126.0,104.0,93.0
7db78,2019-05-19,22.0,62.0,46.0,54.0,4.0,105.0,94.0,77.0
7db78,2019-05-20,32.0,67.0,46.0,61.0,0.0,130.0,146.0,82.0
7db78,2019-05-21,22.0,58.0,40.0,78.0,6.0,105.0,98.0,65.0
7db78,2019-05-22,23.0,53.0,39.0,60.0,10.0,113.0,97.0,102.0
7db78,2019-05-23,18.0,52.0,42.0,72.0,6.0,116.0,96.0,86.0
7db78,2019-05-24,16.0,68.0,49.0,62.0,2.0,121.0,105.0,111.0
7db78,2019-05-25,20.0,64.0,47.0,56.0,8.0,102.0,118.0,68.0
7db78,2019-05-26,22.0,58.0,43.0,78.0,4.0,120.0,135.0,104.0
