id,date,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
8d0d4,2019-04-23,42.0,42.0,98.0,38.0,40.0,0.0,81.0,65.0
8d0d4,2019-04-24,2.0,23.0,79.0,16.0,16.0,0.0,41.0,84.0
8d0d4,2019-04-25,0.0,5.0,34.0,12.0,8.0,0.0,82.0,147.0
8d0d4,2019-04-26,0.0,13.0,59.0,24.0,18.0,17.0,76.0,157.0
8d0d4,2019-04-27,0.0,26.0,145.0,22.0,14.0,25.0,33.0,47.0
8d0d4,2019-04-28,0.0,34.0,139.0,14.0,26.0,75.0,63.0,129.0
8d0d4,2019-04-29,4.0,32.0,153.0,10.0,12.0,33.0,48.0,74.0
8d0d4,2019-04-30,30.0,35.0,109.0,22.0,42.0,89.0,181.0,190.0
8d0d4,2019-05-01,0.0,31.0,101.0,8.0,16.0,15.0,18.0,28.0
8d0d4,2019-05-02,0.0,21.0,143.0,14.0,14.0,36.0,46.0,58.0
8d0d4,2019-05-03,6.0,63.0,202.0,22.0,18.0,73.0,57.0,101.0
8d0d4,2019-05-04,2.0,35.0,113.0,22.0,22.0,39.0,42.0,74.0
8d0d4,2019-05-05,4.0,28.0,230.0,14.0,14.0,51.0,33.0,67.0
8d0d4,2019-05-06,30.0,44.0,166.0,20.0,28.0,32.0,42.0,41.0
8d0d4,2019-05-07,16.0,22.0,127.0,48.0,28.0,46.0,74.0,55.0
8d0d4,2019-05-08,2.0,24.0,189.0,18.0,21.0,62.0,99.0,117.0
8d0d4,2019-05-09,0.0,24.0,149.0,10.0,4.0,26.0,23.0,28.0
8d0d4,2019-05-10,4.0,36.0,149.0,24.0,19.0,50.0,81.0,89.0
8d0d4,2019-05-11,4.0,34.0,160.0,26.0,18.0,40.0,54.0,65.0
8d0d4,2019-05-12,2.0,46.0,161.0,18.0,22.0,59.0,50.0,69.0
8d0d4,2019-05-13,2.0,23.0,141.0,12.0,16.0,37.0,44.0,53.0
8d0d4,2019-05-14,12.0,35.0,124.0,22.0,18.0,26.0,45.0,26.0
8d0d4,2019-05-15,2.0,28.0,111.0,16.0,18.0,35.0,33.0,49.0
8d0d4,2019-05-16,2.0,53.0,146.0,12.0,12.0,23.0,23.0,41.0
8d0d4,2019-05-17,10.0,37.0,165.0,20.0,30.0,46.0,46.0,55.0
8d0d4,2019-05-18,4.0,38.0,174.0,16.0,14.0,47.0,48.0,61.0
8d0d4,2019-05-19,0.0,38.0,168.0,20.0,10.0,33.0,29.0,43.0
8d0d4,2019-05-20,2.0,52.0,196.0,22.0,14.0,27.0,46.0,62.0
8d0d4,2019-05-21,4.0,30.0,148.0,22.0,14.0,47.0,37.0,48.0
8d0d4,2019-05-22,2.0,29.0,145.0,10.0,10.0,13.0,32.0,38.0
8d0d4,2019-05-23,4.0,33.0,252.0,14.0,42.0,66.0,51.0,85.0
8d0d4,2019-05-24,2.0,29.0,80.0,30.0,45.0,52.0,72.0,63.0
8d0d4,2019-05-25,2.0,29.0,187.0,18.0,16.0,70.0,55.0,87.0
8d0d4,2019-05-26,4.0,40.0,215.0,28.0,20.0,54.0,56.0,74.0
8d0d4,2019-05-27,2.0,42.0,157.0,22.0,20.0,32.0,36.0,41.0
8d0d4,2019-05-28,0.0,36.0,208.0,10.0,16.0,26.0,23.0,28.0
8d0d4,2019-05-29,2.0,68.0,230.0,22.0,18.0,57.0,50.0,72.0
8d0d4,2019-05-30,0.0,44.0,177.0,18.0,24.0,30.0,26.0,27.0
8d0d4,2019-05-31,2.0,32.0,171.0,12.0,12.0,35.0,22.0,27.0
8d0d4,2019-06-01,2.0,49.0,198.0,20.0,12.0,42.0,28.0,33.0
8d0d4,2019-06-02,4.0,27.0,99.0,18.0,18.0,30.0,37.0,53.0
8d0d4,2019-06-03,2.0,21.0,122.0,22.0,16.0,42.0,52.0,61.0
8d0d4,2019-06-04,14.0,57.0,153.0,14.0,20.0,83.0,68.0,112.0
8d0d4,2019-06-05,4.0,30.0,116.0,16.0,18.0,24.0,35.0,46.0
8d0d4,2019-06-06,12.0,30.0,162.0,16.0,28.0,36.0,49.0,67.0
8d0d4,2019-06-07,0.0,19.0,112.0,30.0,42.0,86.0,66.0,113.0
8d0d4,2019-06-08,0.0,21.0,120.0,26.0,18.0,35.0,48.0,58.0
8d0d4,2019-06-09,4.0,29.0,165.0,30.0,38.0,46.0,44.0,74.0
8d0d4,2019-06-10,4.0,26.0,144.0,14.0,14.0,51.0,59.0,85.0
8d0d4,2019-06-11,0.0,56.0,162.0,22.0,16.0,58.0,66.0,79.0
8d0d4,2019-06-12,2.0,36.0,144.0,12.0,14.0,17.0,27.0,37.0
8d0d4,2019-06-13,0.0,21.0,150.0,14.0,16.0,30.0,34.0,38.0
8d0d4,2019-06-14,2.0,11.0,136.0,12.0,12.0,28.0,40.0,45.0
8d0d4,2019-06-15,0.0,3.0,26.0,0.0,0.0,1.0,0.0,0.0
