id,date,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
c5785,2019-04-24,1.0,9.0,11.0,17.0,11.0,43.0,23.0,38.0
c5785,2019-04-25,8.0,19.0,34.0,36.0,2.0,80.0,79.0,69.0
c5785,2019-04-26,6.0,25.0,38.0,48.0,4.0,78.0,64.0,63.0
c5785,2019-04-27,6.0,16.0,33.0,32.0,2.0,76.0,75.0,37.0
c5785,2019-04-28,18.0,17.0,31.0,64.0,6.0,91.0,89.0,68.0
c5785,2019-04-29,26.0,14.0,29.0,46.0,12.0,85.0,82.0,57.0
c5785,2019-04-30,6.0,29.0,42.0,24.0,18.0,93.0,65.0,58.0
c5785,2019-05-01,4.0,17.0,36.0,38.0,24.0,90.0,63.0,43.0
c5785,2019-05-02,2.0,22.0,40.0,32.0,18.0,71.0,53.0,53.0
c5785,2019-05-03,4.0,19.0,26.0,30.0,18.0,83.0,57.0,72.0
c5785,2019-05-04,18.0,17.0,31.0,48.0,4.0,70.0,75.0,45.0
c5785,2019-05-05,4.0,19.0,31.0,45.0,6.0,69.0,89.0,48.0
c5785,2019-05-06,10.0,48.0,59.0,36.0,4.0,82.0,73.0,51.0
c5785,2019-05-07,4.0,28.0,41.0,50.0,12.0,102.0,82.0,70.0
c5785,2019-05-08,2.0,26.0,41.0,26.0,8.0,75.0,60.0,48.0
c5785,2019-05-09,4.0,30.0,40.0,34.0,2.0,77.0,60.0,62.0
c5785,2019-05-10,10.0,28.0,38.0,46.0,0.0,73.0,70.0,65.0
c5785,2019-05-11,2.0,27.0,40.0,24.0,0.0,79.0,57.0,57.0
c5785,2019-05-12,4.0,18.0,32.0,30.0,0.0,72.0,75.0,56.0
c5785,2019-05-13,10.0,30.0,39.0,26.0,0.0,72.0,64.0,72.0
c5785,2019-05-14,4.0,19.0,44.0,58.0,20.0,123.0,89.0,110.0
c5785,2019-05-15,14.0,29.0,41.0,60.0,10.0,105.0,90.0,58.0
c5785,2019-05-16,10.0,28.0,45.0,44.0,2.0,98.0,65.0,51.0
c5785,2019-05-17,12.0,20.0,31.0,40.0,6.0,98.0,81.0,62.0
c5785,2019-05-18,8.0,22.0,48.0,30.0,10.0,75.0,51.0,51.0
c5785,2019-05-19,8.0,18.0,33.0,54.0,6.0,100.0,92.0,71.0
c5785,2019-05-20,20.0,17.0,41.0,52.0,12.0,100.0,75.0,43.0
c5785,2019-05-21,22.0,21.0,36.0,60.0,20.0,122.0,94.0,85.0
c5785,2019-05-22,6.0,29.0,33.0,44.0,6.0,83.0,69.0,56.0
c5785,2019-05-23,6.0,18.0,32.0,36.0,14.0,84.0,59.0,54.0
c5785,2019-05-24,8.0,21.0,42.0,41.0,18.0,75.0,61.0,58.0
c5785,2019-05-25,8.0,21.0,39.0,30.0,2.0,75.0,77.0,67.0
c5785,2019-05-26,4.0,23.0,36.0,28.0,4.0,101.0,57.0,56.0
c5785,2019-05-27,12.0,23.0,39.0,48.0,0.0,91.0,64.0,68.0
c5785,2019-05-28,4.0,27.0,43.0,48.0,4.0,92.0,75.0,62.0
c5785,2019-05-29,10.0,25.0,35.0,28.0,16.0,88.0,76.0,62.0
c5785,2019-05-30,4.0,27.0,40.0,30.0,16.0,105.0,75.0,66.0
c5785,2019-05-31,10.0,25.0,45.0,30.0,26.0,96.0,58.0,69.0
c5785,2019-06-01,8.0,23.0,33.0,30.0,2.0,93.0,69.0,67.0
c5785,2019-06-02,4.0,33.0,53.0,56.0,14.0,109.0,101.0,60.0
c5785,2019-06-03,18.0,31.0,39.0,80.0,26.0,137.0,101.0,65.0
c5785,2019-06-04,18.0,32.0,43.0,69.0,18.0,135.0,69.0,62.0
c5785,2019-06-05,16.0,37.0,54.0,31.0,40.0,99.0,62.0,63.0
c5785,2019-06-06,10.0,23.0,39.0,38.0,14.0,93.0,74.0,54.0
c5785,2019-06-07,12.0,29.0,35.0,38.0,12.0,93.0,78.0,71.0
c5785,2019-06-08,8.0,18.0,37.0,54.0,4.0,91.0,79.0,58.0
c5785,2019-06-09,6.0,19.0,30.0,46.0,8.0,88.0,94.0,72.0
c5785,2019-06-10,8.0,25.0,34.0,31.0,10.0,91.0,68.0,76.0
c5785,2019-06-11,10.0,18.0,35.0,42.0,4.0,86.0,87.0,65.0
c5785,2019-06-12,6.0,27.0,39.0,46.0,20.0,81.0,53.0,59.0
c5785,2019-06-13,2.0,26.0,36.0,44.0,16.0,95.0,73.0,69.0
c5785,2019-06-14,10.0,26.0,35.0,42.0,10.0,84.0,79.0,60.0
c5785,2019-06-15,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
c5785,2019-06-17,2.0,3.0,6.0,12.0,8.0,40.0,32.0,42.0
c5785,2019-06-18,2.0,35.0,55.0,34.0,27.0,97.0,62.0,54.0
c5785,2019-06-19,17.0,19.0,32.0,54.0,6.0,82.0,72.0,67.0
c5785,2019-06-20,8.0,24.0,42.0,41.0,18.0,74.0,70.0,62.0
c5785,2019-06-21,14.0,37.0,36.0,50.0,6.0,99.0,90.0,57.0
c5785,2019-06-22,18.0,20.0,37.0,50.0,4.0,104.0,74.0,67.0
c5785,2019-06-23,2.0,33.0,46.0,46.0,6.0,82.0,74.0,53.0
c5785,2019-06-24,10.0,30.0,40.0,42.0,4.0,86.0,86.0,51.0
c5785,2019-06-25,6.0,37.0,40.0,56.0,22.0,100.0,82.0,66.0
c5785,2019-06-26,14.0,32.0,40.0,70.0,8.0,87.0,88.0,71.0
c5785,2019-06-27,2.0,29.0,41.0,54.0,16.0,104.0,79.0,50.0
c5785,2019-06-28,16.0,23.0,34.0,68.0,16.0,81.0,60.0,54.0
c5785,2019-06-29,6.0,30.0,47.0,54.0,6.0,80.0,71.0,53.0
