id,date,12h,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
099bc,2019-05-15,00-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
099bc,2019-05-15,12-24,12.0,17.0,31.0,27.0,13.0,32.0,71.0,6.0
099bc,2019-05-16,00-12,2.0,34.0,52.0,4.0,0.0,18.0,33.0,3.0
099bc,2019-05-16,12-24,12.0,8.0,33.0,18.0,6.0,32.0,71.0,6.0
099bc,2019-05-17,00-12,2.0,17.0,38.0,6.0,0.0,15.0,19.0,3.0
099bc,2019-05-17,12-24,6.0,15.0,28.0,34.0,0.0,18.0,38.0,3.0
099bc,2019-05-18,00-12,18.0,32.0,55.0,12.0,0.0,35.0,70.0,3.0
099bc,2019-05-18,12-24,7.0,23.0,29.0,36.0,1.0,30.0,65.0,1.0
099bc,2019-05-19,00-12,2.0,36.0,48.0,8.0,0.0,19.0,27.0,3.0
099bc,2019-05-19,12-24,2.0,27.0,38.0,8.0,0.0,22.0,38.0,3.0
099bc,2019-05-20,00-12,10.0,35.0,45.0,8.0,0.0,25.0,30.0,1.0
099bc,2019-05-20,12-24,14.0,37.0,50.0,24.0,0.0,29.0,58.0,8.0
099bc,2019-05-21,00-12,8.0,40.0,54.0,4.0,0.0,16.0,25.0,1.0
099bc,2019-05-21,12-24,12.0,30.0,42.0,14.0,0.0,40.0,69.0,5.0
099bc,2019-05-22,00-12,2.0,30.0,53.0,4.0,0.0,16.0,24.0,1.0
099bc,2019-05-22,12-24,7.0,9.0,18.0,4.0,0.0,16.0,14.0,1.0
099bc,2019-05-23,00-12,4.0,32.0,40.0,6.0,0.0,6.0,18.0,0.0
099bc,2019-05-23,12-24,30.0,21.0,39.0,22.0,0.0,26.0,42.0,0.0
099bc,2019-05-24,00-12,10.0,15.0,44.0,14.0,0.0,17.0,27.0,0.0
099bc,2019-05-24,12-24,18.0,33.0,68.0,18.0,0.0,43.0,75.0,4.0
099bc,2019-05-25,00-12,2.0,11.0,43.0,6.0,1.0,16.0,16.0,0.0
099bc,2019-05-25,12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
099bc,2019-05-26,00-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
099bc,2019-05-26,12-24,2.0,15.0,32.0,12.0,2.0,12.0,11.0,1.0
099bc,2019-05-27,00-12,0.0,29.0,38.0,6.0,3.0,21.0,28.0,11.0
099bc,2019-05-27,12-24,10.0,23.0,40.0,12.0,0.0,28.0,40.0,1.0
099bc,2019-05-28,00-12,13.0,30.0,45.0,6.0,0.0,19.0,18.0,0.0
099bc,2019-05-28,12-24,11.0,18.0,23.0,4.0,2.0,22.0,35.0,1.0
099bc,2019-05-29,00-12,6.0,15.0,35.0,10.0,0.0,14.0,25.0,2.0
099bc,2019-05-29,12-24,10.0,15.0,35.0,12.0,0.0,24.0,41.0,1.0
