id,date,12h,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
28710,2019-05-16,00-12,14.0,5.0,8.0,14.0,3.0,15.0,20.0,16.0
28710,2019-05-16,12-24,46.0,20.0,30.0,28.0,27.0,98.0,94.0,91.0
28710,2019-05-17,00-12,35.0,12.0,16.0,32.0,20.0,51.0,56.0,45.0
28710,2019-05-17,12-24,36.0,7.0,15.0,58.0,32.0,106.0,99.0,98.0
28710,2019-05-18,00-12,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0
28710,2019-05-18,12-24,31.0,5.0,10.0,40.0,12.0,65.0,74.0,62.0
28710,2019-05-19,00-12,6.0,11.0,16.0,0.0,0.0,3.0,6.0,2.0
28710,2019-05-19,12-24,39.0,19.0,26.0,24.0,32.0,80.0,77.0,73.0
28710,2019-05-20,00-12,6.0,26.0,21.0,12.0,4.0,24.0,18.0,28.0
28710,2019-05-20,12-24,4.0,8.0,6.0,0.0,0.0,3.0,3.0,2.0
28710,2019-05-21,00-12,17.0,25.0,28.0,30.0,4.0,31.0,35.0,35.0
28710,2019-05-21,12-24,54.0,15.0,20.0,46.0,24.0,88.0,95.0,83.0
28710,2019-05-22,00-12,11.0,24.0,30.0,32.0,10.0,46.0,43.0,35.0
28710,2019-05-22,12-24,44.0,16.0,24.0,40.0,10.0,76.0,89.0,69.0
28710,2019-05-23,00-12,5.0,28.0,26.0,34.0,30.0,36.0,43.0,29.0
28710,2019-05-23,12-24,56.0,13.0,31.0,66.0,24.0,101.0,116.0,103.0
28710,2019-05-24,00-12,27.0,17.0,26.0,18.0,6.0,47.0,48.0,52.0
28710,2019-05-24,12-24,36.0,16.0,29.0,30.0,14.0,62.0,56.0,69.0
28710,2019-05-25,00-12,6.0,20.0,22.0,18.0,6.0,34.0,24.0,26.0
28710,2019-05-25,12-24,55.0,6.0,13.0,38.0,0.0,53.0,70.0,48.0
28710,2019-05-26,00-12,10.0,27.0,13.0,26.0,0.0,23.0,30.0,13.0
28710,2019-05-26,12-24,11.0,8.0,24.0,30.0,0.0,47.0,43.0,51.0
28710,2019-05-27,00-12,20.0,13.0,24.0,24.0,0.0,45.0,50.0,29.0
28710,2019-05-27,12-24,31.0,7.0,13.0,46.0,1.0,66.0,73.0,62.0
28710,2019-05-28,00-12,14.0,30.0,32.0,28.0,13.0,45.0,42.0,44.0
28710,2019-05-28,12-24,58.0,15.0,21.0,46.0,17.0,84.0,101.0,82.0
28710,2019-05-29,00-12,8.0,26.0,23.0,41.0,12.0,37.0,40.0,30.0
28710,2019-05-29,12-24,23.0,14.0,19.0,65.0,18.0,73.0,87.0,103.0
28710,2019-05-30,00-12,20.0,18.0,21.0,26.0,8.0,29.0,40.0,36.0
28710,2019-05-30,12-24,39.0,14.0,25.0,36.0,24.0,92.0,94.0,76.0
28710,2019-05-31,00-12,28.0,26.0,25.0,34.0,15.0,40.0,44.0,50.0
28710,2019-05-31,12-24,47.0,11.0,21.0,62.0,19.0,78.0,96.0,67.0
28710,2019-06-01,00-12,24.0,23.0,29.0,42.0,14.0,52.0,56.0,47.0
28710,2019-06-01,12-24,48.0,1.0,11.0,16.0,10.0,77.0,60.0,65.0
28710,2019-06-02,00-12,19.0,16.0,10.0,24.0,2.0,20.0,26.0,14.0
28710,2019-06-02,12-24,27.0,6.0,14.0,32.0,19.0,53.0,67.0,67.0
28710,2019-06-03,00-12,33.0,27.0,28.0,26.0,28.0,64.0,59.0,67.0
28710,2019-06-03,12-24,35.0,8.0,11.0,50.0,10.0,66.0,66.0,73.0
28710,2019-06-04,00-12,17.0,8.0,9.0,26.0,12.0,36.0,46.0,33.0
28710,2019-06-04,12-24,34.0,27.0,35.0,48.0,36.0,100.0,93.0,96.0
28710,2019-06-05,00-12,10.0,15.0,19.0,28.0,4.0,27.0,33.0,26.0
28710,2019-06-05,12-24,38.0,22.0,23.0,46.0,14.0,64.0,75.0,72.0
28710,2019-06-06,00-12,6.0,23.0,23.0,14.0,6.0,16.0,15.0,11.0
28710,2019-06-06,12-24,39.0,11.0,19.0,32.0,10.0,90.0,97.0,79.0
28710,2019-06-07,00-12,4.0,30.0,32.0,30.0,6.0,28.0,22.0,34.0
28710,2019-06-07,12-24,37.0,18.0,50.0,60.0,24.0,87.0,83.0,71.0
28710,2019-06-08,00-12,11.0,16.0,36.0,16.0,6.0,21.0,25.0,29.0
28710,2019-06-08,12-24,43.0,10.0,14.0,56.0,8.0,71.0,87.0,72.0
28710,2019-06-09,00-12,10.0,18.0,33.0,26.0,7.0,22.0,28.0,20.0
28710,2019-06-09,12-24,29.0,10.0,7.0,70.0,12.0,83.0,100.0,66.0
28710,2019-06-10,00-12,16.0,46.0,32.0,28.0,10.0,30.0,40.0,24.0
