id,date,12h,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
ca44d,2019-05-21,00-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ca44d,2019-05-21,12-24,11.0,18.0,23.0,15.0,3.0,50.0,42.0,65.0
ca44d,2019-05-22,00-12,1.0,12.0,18.0,4.0,2.0,12.0,14.0,15.0
ca44d,2019-05-22,12-24,17.0,15.0,24.0,8.0,2.0,40.0,38.0,61.0
ca44d,2019-05-23,00-12,1.0,19.0,17.0,6.0,4.0,13.0,8.0,18.0
ca44d,2019-05-23,12-24,13.0,21.0,25.0,18.0,0.0,39.0,50.0,53.0
ca44d,2019-05-24,00-12,15.0,15.0,26.0,4.0,0.0,8.0,18.0,12.0
ca44d,2019-05-24,12-24,7.0,24.0,26.0,10.0,4.0,39.0,39.0,64.0
ca44d,2019-05-25,00-12,1.0,18.0,26.0,8.0,4.0,13.0,13.0,16.0
ca44d,2019-05-25,12-24,11.0,24.0,21.0,18.0,10.0,51.0,39.0,63.0
ca44d,2019-05-26,00-12,1.0,14.0,25.0,2.0,2.0,8.0,10.0,14.0
ca44d,2019-05-26,12-24,17.0,17.0,29.0,12.0,2.0,26.0,42.0,55.0
ca44d,2019-05-27,00-12,1.0,14.0,17.0,8.0,0.0,10.0,12.0,16.0
ca44d,2019-05-27,12-24,15.0,20.0,24.0,10.0,2.0,38.0,35.0,54.0
ca44d,2019-05-28,00-12,3.0,16.0,20.0,8.0,4.0,12.0,8.0,16.0
ca44d,2019-05-28,12-24,13.0,19.0,21.0,18.0,6.0,47.0,54.0,86.0
ca44d,2019-05-29,00-12,0.0,14.0,17.0,2.0,0.0,6.0,7.0,7.0
ca44d,2019-05-29,12-24,18.0,18.0,25.0,10.0,2.0,32.0,31.0,48.0
ca44d,2019-05-30,00-12,4.0,17.0,19.0,8.0,2.0,10.0,6.0,7.0
ca44d,2019-05-30,12-24,10.0,18.0,20.0,14.0,0.0,40.0,46.0,53.0
ca44d,2019-05-31,00-12,3.0,11.0,22.0,6.0,4.0,11.0,10.0,26.0
ca44d,2019-05-31,12-24,17.0,25.0,20.0,14.0,4.0,26.0,38.0,51.0
ca44d,2019-06-01,00-12,3.0,21.0,22.0,8.0,2.0,21.0,14.0,16.0
ca44d,2019-06-01,12-24,5.0,30.0,26.0,16.0,0.0,45.0,51.0,59.0
ca44d,2019-06-02,00-12,1.0,17.0,20.0,2.0,0.0,11.0,15.0,11.0
ca44d,2019-06-02,12-24,24.0,25.0,26.0,18.0,2.0,33.0,45.0,55.0
ca44d,2019-06-03,00-12,3.0,16.0,17.0,8.0,2.0,13.0,13.0,21.0
ca44d,2019-06-03,12-24,3.0,23.0,31.0,16.0,6.0,30.0,42.0,49.0
ca44d,2019-06-04,00-12,1.0,17.0,21.0,8.0,2.0,10.0,12.0,10.0
ca44d,2019-06-04,12-24,13.0,17.0,24.0,20.0,2.0,38.0,62.0,62.0
ca44d,2019-06-05,00-12,15.0,14.0,34.0,4.0,2.0,21.0,25.0,30.0
ca44d,2019-06-05,12-24,3.0,13.0,25.0,22.0,0.0,35.0,27.0,55.0
ca44d,2019-06-06,00-12,7.0,18.0,29.0,10.0,6.0,12.0,23.0,19.0
ca44d,2019-06-06,12-24,7.0,17.0,25.0,16.0,0.0,45.0,37.0,55.0
ca44d,2019-06-07,00-12,2.0,15.0,21.0,6.0,0.0,11.0,10.0,7.0
ca44d,2019-06-07,12-24,12.0,17.0,24.0,26.0,2.0,38.0,53.0,61.0
ca44d,2019-06-08,00-12,0.0,18.0,39.0,6.0,2.0,12.0,9.0,15.0
ca44d,2019-06-08,12-24,14.0,14.0,31.0,18.0,2.0,35.0,34.0,44.0
ca44d,2019-06-09,00-12,3.0,22.0,29.0,8.0,0.0,17.0,17.0,14.0
ca44d,2019-06-09,12-24,7.0,24.0,19.0,14.0,2.0,38.0,35.0,53.0
ca44d,2019-06-10,00-12,1.0,13.0,26.0,4.0,0.0,8.0,13.0,13.0
ca44d,2019-06-10,12-24,7.0,19.0,18.0,18.0,4.0,30.0,33.0,41.0
ca44d,2019-06-11,00-12,1.0,16.0,21.0,6.0,2.0,9.0,9.0,10.0
ca44d,2019-06-11,12-24,9.0,20.0,21.0,18.0,0.0,37.0,47.0,43.0
ca44d,2019-06-12,00-12,1.0,12.0,15.0,6.0,0.0,6.0,12.0,4.0
ca44d,2019-06-12,12-24,19.0,23.0,29.0,16.0,4.0,47.0,42.0,56.0
ca44d,2019-06-13,00-12,6.0,12.0,24.0,8.0,11.0,15.0,18.0,20.0
ca44d,2019-06-13,12-24,24.0,22.0,25.0,22.0,8.0,38.0,47.0,50.0
ca44d,2019-06-14,00-12,1.0,16.0,28.0,4.0,0.0,12.0,10.0,9.0
ca44d,2019-06-14,12-24,11.0,22.0,35.0,18.0,2.0,39.0,41.0,55.0
ca44d,2019-06-15,00-12,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
ca44d,2019-06-15,12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ca44d,2019-06-17,00-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ca44d,2019-06-17,12-24,21.0,14.0,28.0,10.0,2.0,35.0,40.0,47.0
ca44d,2019-06-18,00-12,1.0,19.0,23.0,4.0,2.0,6.0,10.0,19.0
ca44d,2019-06-18,12-24,13.0,27.0,22.0,18.0,6.0,38.0,41.0,58.0
ca44d,2019-06-19,00-12,1.0,18.0,24.0,4.0,0.0,10.0,14.0,11.0
ca44d,2019-06-19,12-24,5.0,24.0,28.0,30.0,2.0,31.0,42.0,44.0
ca44d,2019-06-20,00-12,9.0,15.0,23.0,10.0,2.0,13.0,22.0,6.0
ca44d,2019-06-20,12-24,116.0,18.0,21.0,22.0,0.0,33.0,43.0,53.0
ca44d,2019-06-21,00-12,8.0,17.0,22.0,2.0,3.0,9.0,8.0,11.0
ca44d,2019-06-21,12-24,7.0,21.0,24.0,14.0,2.0,32.0,34.0,43.0
ca44d,2019-06-22,00-12,1.0,14.0,21.0,8.0,2.0,7.0,14.0,5.0
ca44d,2019-06-22,12-24,5.0,21.0,16.0,18.0,0.0,33.0,39.0,44.0
ca44d,2019-06-23,00-12,1.0,13.0,14.0,4.0,0.0,5.0,8.0,9.0
ca44d,2019-06-23,12-24,11.0,17.0,23.0,14.0,0.0,31.0,36.0,41.0
ca44d,2019-06-24,00-12,3.0,16.0,24.0,6.0,2.0,10.0,10.0,10.0
ca44d,2019-06-24,12-24,4.0,14.0,29.0,18.0,4.0,34.0,35.0,57.0
ca44d,2019-06-25,00-12,2.0,14.0,33.0,6.0,2.0,9.0,14.0,14.0
ca44d,2019-06-25,12-24,7.0,15.0,22.0,18.0,0.0,31.0,36.0,44.0
ca44d,2019-06-26,00-12,1.0,20.0,29.0,8.0,0.0,8.0,11.0,3.0
ca44d,2019-06-26,12-24,7.0,22.0,34.0,14.0,2.0,35.0,40.0,43.0
ca44d,2019-06-27,00-12,234.0,18.0,37.0,8.0,2.0,22.0,11.0,15.0
ca44d,2019-06-27,12-24,5.0,15.0,25.0,18.0,0.0,32.0,48.0,48.0
ca44d,2019-06-28,00-12,3.0,13.0,29.0,8.0,0.0,16.0,19.0,7.0
ca44d,2019-06-28,12-24,7.0,20.0,23.0,8.0,2.0,27.0,46.0,55.0
ca44d,2019-06-29,00-12,10.0,16.0,27.0,6.0,4.0,12.0,19.0,14.0
ca44d,2019-06-29,12-24,40.0,15.0,29.0,22.0,0.0,26.0,44.0,65.0
