id,date,12h,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
d44d2,2019-06-13,00-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d44d2,2019-06-13,12-24,28.0,28.0,36.0,22.0,21.0,34.0,37.0,46.0
d44d2,2019-06-14,00-12,2.0,8.0,24.0,2.0,8.0,29.0,4.0,36.0
d44d2,2019-06-14,12-24,4.0,9.0,12.0,4.0,12.0,29.0,0.0,31.0
d44d2,2019-06-17,00-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d44d2,2019-06-17,12-24,2.0,5.0,24.0,5.0,10.0,29.0,0.0,33.0
d44d2,2019-06-18,00-12,4.0,13.0,32.0,4.0,8.0,30.0,1.0,38.0
d44d2,2019-06-18,12-24,6.0,6.0,17.0,5.0,10.0,25.0,0.0,26.0
d44d2,2019-06-19,00-12,2.0,10.0,30.0,15.0,6.0,31.0,2.0,29.0
d44d2,2019-06-19,12-24,6.0,4.0,19.0,3.0,6.0,29.0,0.0,32.0
d44d2,2019-06-20,00-12,6.0,19.0,30.0,5.0,14.0,24.0,7.0,39.0
d44d2,2019-06-20,12-24,4.0,7.0,28.0,18.0,12.0,27.0,1.0,35.0
d44d2,2019-06-21,00-12,1.0,13.0,26.0,26.0,6.0,12.0,0.0,20.0
d44d2,2019-06-21,12-24,3.0,7.0,21.0,2.0,10.0,33.0,0.0,38.0
d44d2,2019-06-22,00-12,2.0,15.0,37.0,15.0,4.0,11.0,3.0,19.0
d44d2,2019-06-22,12-24,10.0,10.0,25.0,9.0,6.0,14.0,1.0,27.0
d44d2,2019-06-23,00-12,2.0,10.0,42.0,6.0,10.0,17.0,2.0,28.0
d44d2,2019-06-23,12-24,0.0,8.0,22.0,1.0,9.0,19.0,0.0,24.0
d44d2,2019-06-24,00-12,4.0,11.0,34.0,4.0,6.0,25.0,0.0,26.0
d44d2,2019-06-24,12-24,6.0,10.0,23.0,24.0,10.0,39.0,0.0,36.0
d44d2,2019-06-25,00-12,2.0,6.0,28.0,14.0,4.0,13.0,0.0,25.0
d44d2,2019-06-25,12-24,4.0,9.0,19.0,12.0,12.0,24.0,0.0,33.0
d44d2,2019-06-26,00-12,2.0,13.0,33.0,0.0,6.0,21.0,0.0,26.0
d44d2,2019-06-26,12-24,0.0,6.0,20.0,0.0,11.0,25.0,0.0,34.0
d44d2,2019-06-27,00-12,5.0,15.0,55.0,3.0,18.0,41.0,0.0,38.0
d44d2,2019-06-27,12-24,9.0,10.0,17.0,6.0,12.0,19.0,0.0,23.0
d44d2,2019-06-28,00-12,4.0,8.0,22.0,7.0,6.0,11.0,1.0,13.0
d44d2,2019-06-28,12-24,2.0,7.0,22.0,1.0,8.0,19.0,0.0,23.0
d44d2,2019-06-29,00-12,2.0,6.0,32.0,6.0,6.0,16.0,0.0,24.0
d44d2,2019-06-29,12-24,4.0,6.0,18.0,0.0,4.0,19.0,0.0,27.0
d44d2,2019-06-30,00-12,2.0,1.0,26.0,0.0,8.0,12.0,1.0,24.0
d44d2,2019-06-30,12-24,2.0,7.0,21.0,0.0,10.0,20.0,1.0,29.0
