id,date,hour,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
b9d58,2019-04-01,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-01,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-01,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-01,4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-01,5,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-01,6,0.0,1.0,5.0,2.0,0.0,1.0,1.0,0.0
b9d58,2019-04-01,7,4.0,4.0,3.0,11.0,1.0,0.0,7.0,3.0
b9d58,2019-04-01,8,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0
b9d58,2019-04-01,9,1.0,0.0,0.0,1.0,0.0,5.0,6.0,3.0
b9d58,2019-04-01,10,0.0,0.0,5.0,0.0,0.0,1.0,1.0,5.0
b9d58,2019-04-01,11,0.0,0.0,8.0,3.0,0.0,3.0,2.0,4.0
b9d58,2019-04-01,12,0.0,0.0,0.0,5.0,4.0,2.0,0.0,3.0
b9d58,2019-04-01,13,0.0,1.0,0.0,0.0,2.0,3.0,4.0,4.0
b9d58,2019-04-03,15,0.0,0.0,7.0,0.0,0.0,6.0,11.0,3.0
b9d58,2019-04-03,16,0.0,1.0,13.0,4.0,0.0,10.0,13.0,5.0
b9d58,2019-04-03,17,2.0,7.0,10.0,14.0,6.0,18.0,13.0,12.0
b9d58,2019-04-03,18,0.0,0.0,0.0,4.0,0.0,10.0,4.0,5.0
b9d58,2019-04-03,19,0.0,0.0,0.0,4.0,0.0,6.0,12.0,4.0
b9d58,2019-04-03,20,6.0,3.0,4.0,0.0,0.0,6.0,10.0,6.0
b9d58,2019-04-03,21,0.0,13.0,16.0,4.0,4.0,6.0,7.0,5.0
b9d58,2019-04-03,22,0.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0
b9d58,2019-04-03,23,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0
b9d58,2019-04-04,0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-04,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-04,2,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-04,3,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-04,5,0.0,3.0,4.0,4.0,0.0,2.0,10.0,0.0
b9d58,2019-04-04,6,0.0,6.0,8.0,4.0,0.0,4.0,15.0,0.0
b9d58,2019-04-04,7,2.0,5.0,3.0,20.0,2.0,5.0,10.0,1.0
b9d58,2019-04-04,8,10.0,1.0,2.0,0.0,0.0,8.0,5.0,14.0
b9d58,2019-04-04,9,0.0,11.0,15.0,4.0,0.0,2.0,6.0,3.0
b9d58,2019-04-04,10,4.0,0.0,1.0,0.0,10.0,12.0,12.0,12.0
b9d58,2019-04-04,11,4.0,0.0,0.0,1.0,0.0,7.0,12.0,10.0
b9d58,2019-04-04,12,0.0,0.0,0.0,9.0,6.0,5.0,9.0,5.0
b9d58,2019-04-04,13,10.0,1.0,1.0,0.0,2.0,3.0,3.0,4.0
b9d58,2019-04-04,14,14.0,1.0,9.0,2.0,4.0,15.0,12.0,12.0
b9d58,2019-04-04,15,10.0,2.0,9.0,10.0,2.0,14.0,16.0,11.0
b9d58,2019-04-04,16,13.0,0.0,1.0,2.0,0.0,2.0,3.0,10.0
b9d58,2019-04-04,17,4.0,1.0,1.0,10.0,2.0,16.0,12.0,9.0
b9d58,2019-04-04,18,0.0,0.0,1.0,16.0,0.0,11.0,8.0,6.0
b9d58,2019-04-04,19,0.0,1.0,2.0,0.0,2.0,7.0,6.0,6.0
b9d58,2019-04-04,20,4.0,1.0,1.0,4.0,2.0,2.0,2.0,3.0
b9d58,2019-04-04,21,0.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-04,22,0.0,0.0,2.0,6.0,2.0,2.0,2.0,0.0
b9d58,2019-04-04,23,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-05,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-05,2,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-05,4,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-05,5,0.0,1.0,4.0,4.0,0.0,2.0,2.0,0.0
b9d58,2019-04-05,6,0.0,9.0,11.0,2.0,0.0,1.0,5.0,0.0
b9d58,2019-04-05,7,14.0,5.0,5.0,14.0,0.0,5.0,12.0,7.0
b9d58,2019-04-05,8,5.0,1.0,7.0,0.0,8.0,9.0,7.0,16.0
b9d58,2019-04-05,9,4.0,0.0,1.0,2.0,9.0,11.0,8.0,14.0
b9d58,2019-04-05,10,11.0,4.0,7.0,0.0,0.0,7.0,9.0,9.0
b9d58,2019-04-05,11,5.0,6.0,10.0,4.0,6.0,10.0,11.0,7.0
b9d58,2019-04-05,12,2.0,0.0,0.0,16.0,0.0,3.0,5.0,4.0
b9d58,2019-04-05,13,2.0,3.0,2.0,4.0,2.0,6.0,4.0,8.0
b9d58,2019-04-05,14,6.0,4.0,11.0,4.0,2.0,8.0,5.0,6.0
b9d58,2019-04-05,15,0.0,0.0,0.0,0.0,6.0,6.0,1.0,9.0
b9d58,2019-04-05,16,8.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0
b9d58,2019-04-05,17,6.0,0.0,0.0,16.0,2.0,13.0,12.0,10.0
b9d58,2019-04-05,18,0.0,0.0,0.0,6.0,0.0,7.0,8.0,5.0
b9d58,2019-04-05,19,2.0,3.0,6.0,4.0,4.0,8.0,7.0,7.0
b9d58,2019-04-05,20,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0
b9d58,2019-04-05,21,8.0,5.0,10.0,6.0,2.0,10.0,6.0,10.0
b9d58,2019-04-05,22,0.0,7.0,7.0,0.0,0.0,1.0,0.0,0.0
b9d58,2019-04-05,23,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-06,1,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-06,2,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-06,3,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
