id,date,6h,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
a2849,2019-05-01,00-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2849,2019-05-01,06-12,22.0,9.0,12.0,21.0,25.0,27.0,16.0,22.0
a2849,2019-05-01,12-18,3.0,22.0,11.0,16.0,6.0,69.0,50.0,70.0
a2849,2019-05-01,18-24,0.0,14.0,5.0,16.0,4.0,35.0,32.0,19.0
a2849,2019-05-02,00-06,0.0,13.0,12.0,0.0,0.0,12.0,2.0,0.0
a2849,2019-05-02,06-12,8.0,31.0,24.0,6.0,5.0,48.0,26.0,28.0
a2849,2019-05-02,12-18,4.0,13.0,4.0,14.0,5.0,39.0,30.0,32.0
a2849,2019-05-02,18-24,2.0,8.0,5.0,4.0,2.0,35.0,30.0,20.0
a2849,2019-05-03,00-06,0.0,10.0,10.0,0.0,0.0,11.0,0.0,0.0
a2849,2019-05-03,06-12,2.0,31.0,25.0,10.0,5.0,40.0,20.0,16.0
a2849,2019-05-03,12-18,10.0,8.0,0.0,12.0,0.0,33.0,33.0,26.0
a2849,2019-05-03,18-24,0.0,16.0,9.0,8.0,1.0,29.0,18.0,20.0
a2849,2019-05-04,00-06,0.0,6.0,6.0,0.0,0.0,6.0,0.0,0.0
a2849,2019-05-04,06-12,14.0,31.0,26.0,14.0,1.0,60.0,37.0,27.0
a2849,2019-05-04,12-18,16.0,14.0,5.0,10.0,1.0,28.0,23.0,27.0
a2849,2019-05-04,18-24,0.0,17.0,6.0,22.0,2.0,44.0,38.0,22.0
a2849,2019-05-05,00-06,0.0,9.0,11.0,0.0,0.0,8.0,0.0,1.0
a2849,2019-05-05,06-12,6.0,31.0,19.0,10.0,4.0,47.0,27.0,18.0
a2849,2019-05-05,12-18,8.0,15.0,13.0,8.0,4.0,45.0,29.0,39.0
a2849,2019-05-05,18-24,2.0,10.0,8.0,8.0,0.0,30.0,23.0,25.0
a2849,2019-05-06,00-06,0.0,16.0,17.0,0.0,0.0,16.0,0.0,0.0
a2849,2019-05-06,06-12,6.0,27.0,14.0,6.0,7.0,45.0,24.0,18.0
a2849,2019-05-06,12-18,4.0,10.0,1.0,26.0,1.0,53.0,49.0,25.0
a2849,2019-05-06,18-24,0.0,11.0,5.0,16.0,0.0,33.0,20.0,19.0
a2849,2019-05-07,00-06,0.0,4.0,7.0,0.0,0.0,6.0,0.0,0.0
a2849,2019-05-07,06-12,6.0,25.0,22.0,12.0,7.0,46.0,21.0,33.0
a2849,2019-05-07,12-18,16.0,11.0,9.0,14.0,1.0,42.0,24.0,36.0
a2849,2019-05-07,18-24,0.0,15.0,8.0,12.0,0.0,41.0,22.0,21.0
a2849,2019-05-08,00-06,0.0,5.0,6.0,0.0,0.0,5.0,0.0,0.0
a2849,2019-05-08,06-12,0.0,23.0,16.0,6.0,5.0,35.0,17.0,15.0
