id,date,6h,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge,total-events,unique-locations,active-location-ratio,private-to-public-ratio,location-entropy,location-dominance-ratio,back-and-forth-count,num-transitions
0cda9,2019-04-15,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
0cda9,2019-04-15,06-12,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
0cda9,2019-04-15,12-18,27,9,6,21,44,0,50,28,185,7,0.88,0.19,2.55,0.27,20,88
0cda9,2019-04-15,18-24,2,11,6,6,0,0,14,20,59,6,0.75,0.5,2.31,0.34,5,34
0cda9,2019-04-16,00-06,0,1,11,12,0,0,6,5,35,5,0.62,1.09,2.04,0.34,2,19
0cda9,2019-04-16,06-12,6,22,9,30,13,0,25,40,145,7,0.88,0.48,2.58,0.28,16,86
0cda9,2019-04-16,12-18,2,6,2,22,10,23,22,31,118,8,1.0,0.11,2.59,0.26,13,81
0cda9,2019-04-16,18-24,2,5,7,12,0,22,12,24,84,7,0.88,0.21,2.49,0.29,4,52
0cda9,2019-04-17,00-06,0,0,18,18,0,13,12,14,75,5,0.62,0.46,2.3,0.24,2,45
0cda9,2019-04-17,06-12,6,21,6,28,15,44,34,32,186,8,1.0,0.25,2.76,0.24,25,125
0cda9,2019-04-17,12-18,2,3,5,22,13,31,14,31,121,8,1.0,0.11,2.58,0.26,13,79
0cda9,2019-04-17,18-24,6,6,12,14,2,25,14,18,97,8,1.0,0.32,2.75,0.26,7,76
0cda9,2019-04-18,00-06,0,0,13,14,0,12,11,4,54,5,0.62,0.48,2.23,0.26,4,40
0cda9,2019-04-18,06-12,12,27,6,26,10,33,25,23,162,8,1.0,0.41,2.84,0.2,20,105
0cda9,2019-04-18,12-18,1,11,14,22,18,49,22,44,181,8,1.0,0.22,2.65,0.27,24,135
0cda9,2019-04-18,18-24,5,5,6,4,4,22,12,18,76,8,1.0,0.21,2.68,0.29,10,57
0cda9,2019-04-19,00-06,0,2,9,10,0,8,8,7,44,6,0.75,0.48,2.47,0.23,2,28
0cda9,2019-04-19,06-12,4,16,4,26,16,38,21,30,155,8,1.0,0.22,2.73,0.25,23,111
0cda9,2019-04-19,12-18,0,4,3,10,15,31,13,24,100,7,0.88,0.1,2.48,0.31,9,72
0cda9,2019-04-19,18-24,4,6,9,12,0,28,26,21,106,7,0.88,0.2,2.54,0.26,5,79
0cda9,2019-04-20,00-06,0,0,8,6,0,10,6,9,39,5,0.62,0.32,2.29,0.26,3,25
0cda9,2019-04-20,06-12,2,20,5,26,8,33,32,35,161,8,1.0,0.25,2.66,0.22,20,107
0cda9,2019-04-20,12-18,4,3,5,17,2,28,27,28,114,8,1.0,0.1,2.5,0.25,11,81
0cda9,2019-04-20,18-24,2,8,7,15,0,24,23,29,108,7,0.88,0.2,2.5,0.27,8,69
0cda9,2019-04-21,00-06,0,0,10,8,0,8,7,11,44,5,0.62,0.38,2.3,0.25,1,24
0cda9,2019-04-21,06-12,2,20,5,28,4,33,16,41,149,8,1.0,0.28,2.57,0.28,15,94
0cda9,2019-04-21,12-18,4,20,8,14,14,38,24,25,147,8,1.0,0.32,2.77,0.26,17,115
0cda9,2019-04-21,18-24,2,3,3,0,2,11,7,8,36,7,0.88,0.23,2.53,0.31,2,30
0cda9,2019-04-22,00-06,0,0,11,14,0,10,6,9,50,5,0.62,0.44,2.27,0.28,2,27
0cda9,2019-04-22,06-12,4,17,9,24,4,31,25,42,156,8,1.0,0.27,2.67,0.27,7,94
0cda9,2019-04-22,12-18,2,7,5,14,6,27,21,30,112,8,1.0,0.15,2.61,0.27,7,77
0cda9,2019-04-22,18-24,2,6,7,8,0,15,12,19,69,7,0.88,0.28,2.58,0.28,3,50
0cda9,2019-04-23,00-06,0,1,15,12,0,10,8,9,55,6,0.75,0.59,2.37,0.27,2,30
0cda9,2019-04-23,06-12,4,19,5,29,8,34,18,26,143,8,1.0,0.31,2.72,0.24,17,95
0cda9,2019-04-23,12-18,2,5,3,30,2,30,25,38,135,8,1.0,0.09,2.41,0.28,10,95
