id,date,6h,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge,total-events,unique-locations,active-location-ratio,private-to-public-ratio,location-entropy,location-dominance-ratio,back-and-forth-count,num-transitions
3fb61,2019-04-18,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
3fb61,2019-04-18,06-12,2,1,0,1,0,1,1,2,8,6,0.75,0.25,2.5,0.25,1,8
3fb61,2019-04-18,12-18,23,12,15,52,24,24,71,16,237,8,1.0,0.24,2.73,0.3,19,135
3fb61,2019-04-18,18-24,8,11,3,26,3,26,72,12,161,8,1.0,0.13,2.34,0.45,23,94
3fb61,2019-04-19,00-06,4,0,3,2,0,3,10,1,23,6,0.75,0.21,2.23,0.43,1,13
3fb61,2019-04-19,06-12,4,0,12,2,1,11,16,1,47,7,0.88,0.43,2.26,0.34,5,25
3fb61,2019-04-19,12-18,16,20,9,32,2,29,63,28,199,8,1.0,0.24,2.65,0.32,23,125
3fb61,2019-04-19,18-24,0,12,10,20,1,14,25,10,92,7,0.88,0.45,2.55,0.27,4,56
3fb61,2019-04-20,00-06,0,0,3,0,0,1,1,1,6,4,0.5,1.0,1.79,0.5,0,4
3fb61,2019-04-20,06-12,0,8,11,10,1,25,32,16,103,7,0.88,0.26,2.46,0.31,11,64
3fb61,2019-04-20,12-18,18,11,1,14,5,12,54,9,124,8,1.0,0.16,2.44,0.44,18,82
3fb61,2019-04-20,18-24,4,6,8,8,0,10,19,8,63,7,0.88,0.38,2.65,0.3,4,41
3fb61,2019-04-21,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
3fb61,2019-04-21,06-12,6,11,7,30,5,21,58,14,152,8,1.0,0.19,2.53,0.38,10,91
3fb61,2019-04-21,12-18,2,6,4,32,0,46,111,42,243,7,0.88,0.05,2.08,0.46,32,150
3fb61,2019-04-21,18-24,6,10,4,20,1,32,36,36,145,8,1.0,0.13,2.52,0.25,20,108
3fb61,2019-04-22,00-06,0,0,8,4,0,2,4,1,19,5,0.62,1.14,2.04,0.42,0,7
3fb61,2019-04-22,06-12,2,11,7,4,0,6,12,4,46,7,0.88,0.82,2.61,0.26,1,17
3fb61,2019-04-22,12-18,6,8,12,18,1,28,63,12,148,8,1.0,0.19,2.4,0.43,16,84
3fb61,2019-04-22,18-24,4,15,5,14,1,20,33,36,128,8,1.0,0.22,2.54,0.28,14,82
3fb61,2019-04-23,00-06,0,0,0,0,0,2,2,0,4,2,0.25,0.0,1.0,0.5,0,3
3fb61,2019-04-23,06-12,10,15,12,12,3,16,29,6,103,8,1.0,0.53,2.77,0.28,5,61
3fb61,2019-04-23,12-18,30,15,8,20,5,35,59,20,192,8,1.0,0.2,2.68,0.31,20,135
3fb61,2019-04-23,18-24,0,8,13,10,0,17,37,12,97,6,0.75,0.32,2.37,0.38,12,57
3fb61,2019-04-24,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
3fb61,2019-04-24,06-12,2,10,16,12,2,15,27,11,95,8,1.0,0.49,2.68,0.28,6,50
3fb61,2019-04-24,12-18,12,4,2,18,4,25,43,18,126,8,1.0,0.07,2.53,0.34,11,84
3fb61,2019-04-24,18-24,2,10,6,8,2,19,29,17,93,8,1.0,0.25,2.58,0.31,9,61
3fb61,2019-04-25,00-06,0,0,0,2,0,1,1,0,4,3,0.38,0.0,1.5,0.5,0,3
3fb61,2019-04-25,06-12,8,12,11,8,0,19,25,14,97,7,0.88,0.4,2.69,0.26,8,61
3fb61,2019-04-25,12-18,7,8,1,18,4,14,21,12,85,8,1.0,0.19,2.7,0.25,11,60
3fb61,2019-04-25,18-24,4,3,3,12,2,5,11,1,41,8,1.0,0.35,2.62,0.29,5,29
3fb61,2019-04-26,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
3fb61,2019-04-26,06-12,4,11,9,10,4,16,29,6,89,8,1.0,0.39,2.7,0.33,8,54
3fb61,2019-04-26,12-18,12,4,1,18,6,19,27,16,103,8,1.0,0.08,2.66,0.26,4,70
3fb61,2019-04-26,18-24,2,6,14,14,0,13,45,7,101,7,0.88,0.31,2.31,0.45,5,49
3fb61,2019-04-27,00-06,0,0,2,4,0,4,9,0,19,4,0.5,0.15,1.8,0.47,0,9
3fb61,2019-04-27,06-12,6,10,11,2,0,9,16,3,57,7,0.88,0.75,2.57,0.28,8,29
3fb61,2019-04-27,12-18,0,12,2,30,0,26,48,24,142,6,0.75,0.14,2.27,0.34,12,89
3fb61,2019-04-27,18-24,4,10,5,10,0,17,35,17,98,7,0.88,0.22,2.49,0.36,9,61
3fb61,2019-04-28,00-06,0,0,0,2,2,1,4,1,10,5,0.62,0.0,2.12,0.4,0,6
3fb61,2019-04-28,06-12,0,14,12,8,2,19,24,10,89,7,0.88,0.49,2.58,0.27,7,50
3fb61,2019-04-28,12-18,12,13,6,12,6,35,40,53,177,8,1.0,0.15,2.6,0.3,21,122
3fb61,2019-04-28,18-24,0,10,5,30,0,18,64,17,144,6,0.75,0.15,2.17,0.44,7,71
3fb61,2019-04-29,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
3fb61,2019-04-29,06-12,0,13,5,10,2,15,27,6,78,7,0.88,0.38,2.47,0.35,4,35
3fb61,2019-04-29,12-18,10,7,6,10,6,19,54,18,130,8,1.0,0.14,2.53,0.42,15,80
3fb61,2019-04-29,18-24,4,10,4,6,2,15,37,10,88,8,1.0,0.23,2.47,0.42,10,59
3fb61,2019-04-30,00-06,0,0,1,6,0,1,8,0,16,4,0.5,0.11,1.53,0.5,0,7
3fb61,2019-04-30,06-12,2,8,10,6,2,9,17,4,58,8,1.0,0.6,2.71,0.29,2,29
3fb61,2019-04-30,12-18,20,10,9,14,2,24,41,16,136,8,1.0,0.23,2.7,0.3,17,98
3fb61,2019-04-30,18-24,6,5,9,2,2,5,5,0,34,7,0.88,1.4,2.65,0.26,1,18
3fb61,2019-05-01,00-06,0,0,0,2,0,2,6,0,10,3,0.38,0.0,1.37,0.6,0,5
3fb61,2019-05-01,06-12,0,9,5,8,1,18,38,16,95,7,0.88,0.19,2.33,0.4,15,62
3fb61,2019-05-01,12-18,12,12,9,4,0,19,26,13,95,7,0.88,0.36,2.64,0.27,9,62
3fb61,2019-05-01,18-24,0,10,10,16,1,27,60,28,152,7,0.88,0.17,2.33,0.39,12,90
3fb61,2019-05-02,00-06,0,0,2,6,0,1,5,1,15,5,0.62,0.29,1.97,0.4,1,9
3fb61,2019-05-02,06-12,8,11,13,12,2,26,30,17,119,8,1.0,0.33,2.74,0.25,11,81
3fb61,2019-05-02,12-18,6,3,2,14,4,24,48,17,118,8,1.0,0.06,2.38,0.41,5,69
3fb61,2019-05-02,18-24,0,6,9,6,2,8,21,5,57,7,0.88,0.44,2.51,0.37,1,30
3fb61,2019-05-03,00-06,0,0,2,0,0,0,0,0,2,1,0.12,1.0,-0.0,1.0,0,1
3fb61,2019-05-03,06-12,10,20,11,10,0,18,31,9,109,7,0.88,0.53,2.66,0.28,3,57
3fb61,2019-05-03,12-18,14,2,0,10,0,17,33,6,82,6,0.75,0.04,2.21,0.4,8,51
3fb61,2019-05-03,18-24,4,7,6,0,0,7,10,2,36,6,0.75,0.68,2.45,0.28,4,25
3fb61,2019-05-04,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
3fb61,2019-05-04,06-12,0,12,8,0,0,5,8,0,33,4,0.5,1.54,1.93,0.36,6,15
3fb61,2019-05-04,12-18,12,15,9,20,4,41,65,29,195,8,1.0,0.18,2.6,0.33,22,128
3fb61,2019-05-04,18-24,4,10,9,12,0,28,54,19,136,7,0.88,0.19,2.39,0.4,12,79
3fb61,2019-05-05,00-06,0,0,5,4,0,2,8,0,19,4,0.5,0.5,1.85,0.42,3,9
3fb61,2019-05-05,06-12,15,11,16,4,0,20,33,6,105,7,0.88,0.46,2.55,0.31,13,66
3fb61,2019-05-05,12-18,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
3fb61,2019-05-05,18-24,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
3fb61,2019-05-07,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
3fb61,2019-05-07,06-12,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
3fb61,2019-05-07,12-18,26,8,11,14,0,26,51,15,151,7,0.88,0.21,2.55,0.34,12,113
3fb61,2019-05-07,18-24,6,6,15,12,0,24,42,17,122,7,0.88,0.25,2.52,0.34,19,82
3fb61,2019-05-08,00-06,0,0,0,2,0,2,3,0,7,3,0.38,0.0,1.56,0.43,0,5
3fb61,2019-05-08,06-12,2,10,0,4,0,7,19,5,47,6,0.75,0.32,2.25,0.4,2,20
3fb61,2019-05-08,12-18,8,6,20,20,8,38,47,39,186,8,1.0,0.21,2.68,0.25,27,127
3fb61,2019-05-08,18-24,0,9,7,0,0,16,26,25,83,5,0.62,0.24,2.15,0.31,16,49
3fb61,2019-05-09,00-06,0,0,1,0,0,0,0,0,1,1,0.12,1.0,-0.0,1.0,0,1
3fb61,2019-05-09,06-12,2,10,17,6,2,14,24,6,81,8,1.0,0.61,2.62,0.3,8,43
3fb61,2019-05-09,12-18,16,7,3,40,4,31,47,21,169,8,1.0,0.1,2.57,0.28,23,112
3fb61,2019-05-09,18-24,8,7,11,2,0,3,5,1,37,7,0.88,2.0,2.5,0.3,0,17
3fb61,2019-05-10,00-06,0,0,4,6,0,3,15,1,29,5,0.62,0.21,1.86,0.52,0,10
3fb61,2019-05-10,06-12,8,1,8,8,0,11,28,6,70,7,0.88,0.2,2.41,0.4,4,39
3fb61,2019-05-10,12-18,24,11,12,12,2,27,76,15,179,8,1.0,0.19,2.47,0.42,19,113
3fb61,2019-05-10,18-24,4,4,1,4,0,13,31,13,70,7,0.88,0.09,2.22,0.44,4,42
3fb61,2019-05-11,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
3fb61,2019-05-11,06-12,4,3,0,4,0,5,31,0,47,5,0.62,0.08,1.6,0.66,2,15
3fb61,2019-05-11,12-18,2,0,0,8,0,7,13,2,32,5,0.62,0.0,2.01,0.41,3,17
3fb61,2019-05-11,18-24,2,1,0,2,0,1,3,0,9,5,0.62,0.25,2.2,0.33,2,8
3fb61,2019-05-12,00-06,0,0,0,0,0,2,2,0,4,2,0.25,0.0,1.0,0.5,0,3
